# Class blue_S1 green_S1 red_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 bcdev_S1 edev_S1 sdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 blue_S2 green_S2 red_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 bcdev_S2 edev_S2 sdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 slope
1.000000 0.131650 0.190650 0.272050 0.354100 0.542100 0.453850 0.309300 0.319850 0.337400 3.229928 2.382007 7.605234 0.131039 0.253252 -0.479630 171.937225 0.142850 0.199050 0.265350 0.362400 0.532050 0.487000 0.303700 0.326850 0.342300 3.619576 2.727895 8.760642 0.155537 0.350547 -0.456889 182.775040 0.416667
0.000000 0.021550 0.035950 0.045850 0.110650 0.210750 0.148800 0.069750 0.093550 0.104900 2.329553 2.726111 6.198868 0.414026 0.367614 -0.708407 221.577881 0.033650 0.045800 0.053300 0.126850 0.217250 0.155500 0.076650 0.105500 0.117200 2.622122 2.839771 6.487950 0.408022 0.443730 -0.653741 231.224121 18.190733
0.000000 0.016250 0.032950 0.042350 0.148450 0.195750 0.138000 0.073600 0.117800 0.134650 2.533781 2.829899 6.191045 0.536603 0.604781 -0.711939 169.691818 0.026350 0.041500 0.046300 0.149950 0.191750 0.138150 0.076350 0.121000 0.136750 2.435909 2.672556 5.385246 0.506369 0.613002 -0.644920 174.683746 2.500000
1.000000 0.056900 0.102800 0.187250 0.295500 0.425850 0.346350 0.232950 0.263350 0.281400 3.232725 2.644915 6.833686 0.222620 0.364256 -0.611800 90.416916 0.065400 0.107100 0.191400 0.296600 0.436400 0.360250 0.235350 0.267650 0.284300 2.764511 2.136068 7.070090 0.216056 0.371412 -0.604517 84.098267 2.500000
1.000000 0.106450 0.150400 0.199750 0.282000 0.439400 0.379500 0.224150 0.247950 0.263500 3.186039 2.620142 8.195309 0.170838 0.324148 -0.490972 171.840088 0.103400 0.143950 0.185000 0.288900 0.416750 0.363250 0.215400 0.246450 0.263300 2.902406 2.333090 6.989544 0.216702 0.460910 -0.486256 182.449844 4.750731
1.000000 0.050000 0.083250 0.154350 0.225000 0.340000 0.312600 0.186400 0.203850 0.217150 3.193986 2.945395 7.211276 0.186242 0.241863 -0.606238 129.346741 0.046450 0.078800 0.139700 0.234550 0.303600 0.280200 0.179250 0.212500 0.225950 3.200267 2.744840 6.609159 0.253441 0.379089 -0.587700 116.135422 7.185096
0.000000 0.138100 0.168500 0.201400 0.250100 0.249000 0.219800 0.222300 0.238700 0.248000 2.624137 2.229496 7.242356 0.088531 0.145513 -0.187952 127.942314 0.142200 0.174700 0.209800 0.263600 0.262900 0.230300 0.231300 0.254300 0.263600 3.047155 2.574273 7.736655 0.090536 0.177642 -0.195105 115.748795 10.441637
0.000000 0.065000 0.098100 0.131400 0.239000 0.270200 0.224900 0.164200 0.210600 0.231100 2.951323 2.707701 7.051682 0.296386 0.530919 -0.463054 86.549042 0.075100 0.107600 0.145500 0.249400 0.286500 0.243700 0.176300 0.219400 0.237700 2.616892 2.362059 7.026477 0.269028 0.502040 -0.453668 81.491203 0.833333
1.000000 0.056850 0.088550 0.163050 0.221550 0.393400 0.330400 0.193750 0.203500 0.214900 2.988693 2.623986 8.014955 0.151893 0.179946 -0.631759 81.934471 0.047200 0.080200 0.169350 0.249850 0.370550 0.312050 0.210250 0.233300 0.244300 2.121582 1.708127 6.245987 0.192908 0.266054 -0.644784 81.657166 6.009252
0.000000 0.020450 0.039150 0.050550 0.157200 0.222950 0.161200 0.084600 0.129150 0.147400 2.551568 2.695801 6.477015 0.513315 0.622860 -0.702517 172.625870 0.029150 0.043950 0.050400 0.147650 0.216750 0.163700 0.081950 0.123800 0.140650 2.713230 2.832993 5.778983 0.488998 0.590893 -0.663484 182.978088 3.422330
1.000000 0.141700 0.215250 0.317900 0.426000 0.536850 0.442800 0.361150 0.376500 0.400450 2.775747 1.797416 5.604309 0.144806 0.312050 -0.426913 168.649033 0.142750 0.228250 0.323100 0.443550 0.590800 0.551900 0.368700 0.399000 0.416600 3.870844 2.794985 7.745629 0.157761 0.356440 -0.442890 181.602386 4.249183
1.000000 0.055850 0.090950 0.158650 0.230450 0.355450 0.319950 0.191100 0.207950 0.222000 3.243976 2.887877 7.124232 0.184557 0.250746 -0.592520 128.253769 0.060450 0.095750 0.161700 0.268650 0.338750 0.304150 0.207450 0.240850 0.257900 3.146651 2.480219 5.924311 0.248537 0.423817 -0.559264 114.660240 4.879050
1.000000 0.150100 0.210000 0.263400 0.355900 0.505200 0.443600 0.294400 0.311200 0.327500 3.047986 2.227806 7.658300 0.149264 0.333678 -0.407341 167.286484 0.127400 0.177900 0.222600 0.367900 0.454100 0.384100 0.255500 0.303300 0.326200 2.904058 1.947706 5.698272 0.246406 0.640489 -0.435519 172.002701 1.863390
0.000000 0.111900 0.161750 0.219950 0.284600 0.433050 0.381850 0.247350 0.256550 0.270200 3.298969 2.736794 8.536451 0.127905 0.212599 -0.455396 106.475708 0.108000 0.155600 0.203100 0.309600 0.400900 0.348900 0.241650 0.272800 0.289550 2.998430 2.309382 6.544076 0.208619 0.442689 -0.439772 93.347137 2.357023
0.000000 0.035250 0.051200 0.057950 0.143100 0.218000 0.161850 0.084650 0.118050 0.131950 2.367179 2.558347 7.138365 0.422917 0.511673 -0.619535 187.156494 0.042450 0.056050 0.061900 0.149200 0.218500 0.163250 0.088850 0.122600 0.136200 2.479128 2.629053 6.886693 0.413310 0.541969 -0.591336 188.515625 1.075475
1.000000 0.065200 0.121100 0.249900 0.322500 0.501100 0.439600 0.288600 0.300900 0.312500 3.744023 2.960273 8.289391 0.125173 0.161762 -0.609850 91.412079 0.070100 0.122900 0.242000 0.347400 0.490800 0.429100 0.287200 0.317300 0.332100 3.070174 2.240068 7.028849 0.179036 0.302163 -0.600390 84.895172 4.750731
1.000000 0.024600 0.055050 0.065100 0.263800 0.235600 0.145900 0.122250 0.207550 0.240000 2.187460 1.967502 5.711636 0.604604 1.108288 -0.623179 81.310524 0.044650 0.071300 0.084000 0.237050 0.286600 0.202050 0.128600 0.191150 0.214250 2.235833 1.949394 5.528886 0.476523 0.868490 -0.601565 81.366302 7.682954
1.000000 0.052150 0.093200 0.187550 0.276800 0.454700 0.375750 0.231500 0.248500 0.266400 3.171753 2.614716 7.650476 0.192215 0.283426 -0.659671 80.765572 0.048100 0.085700 0.143300 0.277300 0.391150 0.315650 0.200650 0.241550 0.260450 2.501174 1.989498 5.391831 0.318591 0.564354 -0.639440 81.345917 5.921946
0.000000 0.058000 0.095250 0.139250 0.196000 0.335200 0.275300 0.167450 0.177300 0.191600 2.636624 2.342208 7.634207 0.171004 0.207233 -0.557103 80.362610 0.061700 0.098700 0.139250 0.217450 0.331100 0.272300 0.173950 0.193700 0.208550 2.477530 2.169448 6.442202 0.220947 0.330477 -0.539997 83.311386 7.037046
1.000000 0.032250 0.059750 0.083850 0.237800 0.277700 0.186400 0.126400 0.187050 0.218250 2.201940 2.029642 5.997546 0.477899 0.808482 -0.646958 80.266380 0.041600 0.073750 0.098300 0.287200 0.309100 0.221400 0.145600 0.232850 0.267750 2.348186 1.944751 5.168180 0.490002 0.973748 -0.616650 83.305038 6.009252
0.000000 0.237550 0.280350 0.308850 0.329150 0.363100 0.331250 0.330750 0.333000 0.335500 3.108611 2.360275 8.169180 0.034111 0.029115 -0.131934 85.364838 0.256950 0.296800 0.330750 0.366250 0.391450 0.365900 0.350250 0.353850 0.358950 2.773602 1.962249 7.741198 0.044168 0.097160 -0.138762 89.563553 3.173239
1.000000 0.053950 0.108200 0.151050 0.385550 0.348200 0.253150 0.223150 0.339750 0.372750 2.364315 1.667911 4.706790 0.436060 1.002106 -0.523462 80.150291 0.075950 0.137550 0.265500 0.368850 0.481650 0.422100 0.315100 0.348600 0.363700 2.954692 2.148948 6.547954 0.162947 0.272837 -0.553646 82.996521 6.871843
1.000000 0.052300 0.073000 0.092000 0.156100 0.279800 0.219200 0.112600 0.134300 0.146700 2.665628 2.710065 7.481858 0.258364 0.320782 -0.586870 127.416969 0.145100 0.186000 0.242500 0.312700 0.452200 0.392500 0.258800 0.270500 0.284700 3.134439 2.442303 8.003466 0.127181 0.259832 -0.423708 126.753891 5.000000
1.000000 0.147350 0.198150 0.253650 0.317250 0.455350 0.407200 0.275300 0.281950 0.300700 3.378226 2.597271 6.956996 0.111392 0.207741 -0.398350 124.156097 0.221650 0.298250 0.377850 0.455950 0.546400 0.509000 0.385250 0.395250 0.407800 3.283033 2.245016 7.245389 0.093673 0.224503 -0.298668 123.202812 5.152533
1.000000 0.074000 0.136100 0.210400 0.276400 0.423800 0.354800 0.237200 0.251800 0.266500 3.512901 2.943096 7.843557 0.136188 0.188711 -0.513926 124.205795 0.094700 0.174400 0.267100 0.349900 0.491400 0.425900 0.303900 0.325400 0.341300 3.530630 2.620941 7.773326 0.134828 0.212917 -0.467925 123.191368 5.803495
1.000000 0.030500 0.047350 0.062400 0.131600 0.246300 0.186500 0.083050 0.109450 0.122350 2.810693 2.860368 6.750452 0.356352 0.372512 -0.677414 127.789299 0.082000 0.116650 0.170200 0.244900 0.391850 0.326400 0.186300 0.203000 0.220600 2.905916 2.495773 7.832698 0.180030 0.294657 -0.539844 127.235336 11.625758
1.000000 0.088500 0.136150 0.199400 0.298050 0.437050 0.381650 0.241900 0.272200 0.289800 3.340287 2.590690 6.379237 0.196550 0.361105 -0.525229 130.370743 0.108850 0.168350 0.248000 0.359200 0.491200 0.436150 0.292800 0.322850 0.341950 2.616290 1.809179 6.904836 0.183107 0.377625 -0.489722 125.891083 4.896769
0.000000 0.023200 0.038550 0.046850 0.104700 0.177600 0.144600 0.066400 0.089850 0.099350 1.997289 2.443214 6.395287 0.374390 0.309490 -0.640629 130.866608 0.036950 0.054600 0.063650 0.140800 0.199850 0.163200 0.088350 0.119850 0.131600 2.192736 2.383510 5.958416 0.375210 0.439192 -0.574875 125.732697 36.400551
0.000000 0.011300 0.039950 0.022050 0.371350 0.134400 0.067650 0.079350 0.290950 0.367150 3.314387 2.981543 7.711424 0.887814 2.107225 -0.540808 99.761475 0.020000 0.043650 0.035900 0.304250 0.140050 0.077450 0.084750 0.235650 0.292150 2.678676 2.489953 6.911019 0.783157 1.639580 -0.528189 99.055298 2.240807
0.000000 0.016200 0.028700 0.019200 0.225000 0.127900 0.062100 0.050700 0.174300 0.215700 2.618437 2.736908 6.746315 0.842105 1.403623 -0.635083 361.864685 0.027300 0.036200 0.038100 0.168700 0.177200 0.106300 0.065000 0.133300 0.158500 2.786499 2.915756 5.178659 0.633470 0.867137 -0.657433 377.410370 11.931518
1.000000 0.030600 0.055000 0.041400 0.349700 0.177800 0.096800 0.085800 0.262500 0.338600 2.533049 2.191553 5.473723 0.789149 1.917538 -0.523644 370.316895 0.057200 0.083200 0.130700 0.222700 0.312500 0.249400 0.158200 0.181600 0.203500 2.485267 2.224520 4.773138 0.260328 0.410531 -0.578359 391.633484 6.009252
0.000000 0.028900 0.054250 0.032350 0.370050 0.179650 0.086950 0.091600 0.293200 0.363900 2.944199 2.403915 6.675676 0.838125 2.139925 -0.536275 339.114227 0.042500 0.060800 0.054100 0.282150 0.217200 0.132050 0.103000 0.217750 0.256550 2.489221 2.208119 4.760864 0.671920 1.484866 -0.562596 338.733582 38.323997
1.000000 0.029200 0.051000 0.044500 0.281500 0.196700 0.127200 0.095700 0.228300 0.265800 1.984927 1.724563 4.459481 0.725935 1.491571 -0.587737 353.019073 0.041300 0.056800 0.090800 0.142800 0.276300 0.253700 0.106900 0.116200 0.130000 2.932401 2.787818 6.383839 0.221459 0.221003 -0.659281 360.400269 6.346478
1.000000 0.045000 0.068600 0.083200 0.214400 0.242600 0.183800 0.121300 0.182700 0.204600 2.493788 2.312791 5.241999 0.440860 0.744368 -0.560495 351.967987 0.049200 0.067900 0.100500 0.160600 0.283600 0.256800 0.119000 0.134000 0.148000 3.522084 3.307690 7.488016 0.234998 0.276547 -0.612101 358.452301 10.960789
1.000000 0.051550 0.074650 0.090950 0.212750 0.241050 0.182050 0.126300 0.180150 0.202150 1.984181 1.807206 4.245522 0.402709 0.687064 -0.527204 368.509003 0.072450 0.096250 0.131150 0.189600 0.289350 0.257800 0.149750 0.161300 0.174900 3.163372 3.045121 7.834498 0.184195 0.254771 -0.499868 385.878052 3.535534
0.000000 0.025400 0.040500 0.028900 0.172100 0.127200 0.073900 0.064400 0.148500 0.175200 1.832913 1.967426 4.522668 0.719033 1.000194 -0.516676 333.178680 0.017700 0.024600 0.022200 0.101800 0.099800 0.057900 0.040000 0.085300 0.101300 1.250395 2.239601 5.194330 0.630126 0.525521 -0.605613 343.372650 67.032852
0.000000 0.025700 0.041100 0.040000 0.218300 0.198200 0.126600 0.068500 0.167200 0.204400 3.189115 3.104782 5.764908 0.703624 1.178597 -0.662145 328.579132 0.034600 0.049800 0.059600 0.200500 0.242000 0.171000 0.084500 0.150200 0.179600 2.703593 2.670700 4.912273 0.545488 0.867120 -0.666555 325.247070 4.166667
0.000000 0.022000 0.042300 0.027400 0.234600 0.149400 0.078100 0.072400 0.201600 0.235100 3.386184 3.381502 6.430556 0.789978 1.409164 -0.551042 333.447266 0.029500 0.046200 0.040600 0.205000 0.175900 0.104400 0.081100 0.169300 0.193100 2.797185 2.856509 5.099765 0.669381 1.093552 -0.571834 345.823669 53.505581
0.000000 0.025250 0.039750 0.058650 0.118650 0.192950 0.138550 0.079350 0.096750 0.111050 2.577721 2.984530 6.518288 0.337632 0.305966 -0.658134 78.684265 0.040500 0.053050 0.074450 0.124800 0.215100 0.162350 0.089050 0.099600 0.112450 2.466146 2.753616 7.430548 0.252702 0.238086 -0.607145 54.762146 3.173239
0.000000 0.079800 0.138700 0.187250 0.209400 0.327000 0.304900 0.202500 0.204000 0.212250 3.096494 2.777167 8.293501 0.056761 -0.000675 -0.404862 80.484207 0.088100 0.146200 0.197500 0.226750 0.338850 0.317800 0.212150 0.214500 0.223150 3.479457 3.081947 8.591993 0.067813 0.030668 -0.396418 55.628090 0.833333
1.000000 0.032350 0.057950 0.044150 0.356500 0.180550 0.098350 0.091200 0.271150 0.344800 2.479559 2.085233 5.511493 0.778212 1.929429 -0.512193 369.219971 0.052950 0.078850 0.126750 0.218700 0.291450 0.224550 0.154350 0.179700 0.199700 2.498557 2.195469 5.018888 0.263409 0.397592 -0.571389 389.727051 7.660324
0.000000 0.120650 0.175200 0.191850 0.079450 0.008400 0.008550 0.195200 0.102450 0.098350 3.246184 3.508884 6.558870 -0.414364 -0.885254 0.908397 332.639099 0.125300 0.175500 0.198900 0.094500 0.013650 0.014150 0.201750 0.115700 0.111300 3.150604 3.306770 6.191238 -0.354806 -0.816816 0.855634 333.676514 0.000000
1.000000 0.055250 0.084450 0.095800 0.259250 0.274700 0.203750 0.144750 0.221800 0.246850 3.175054 2.847469 7.081701 0.460900 0.920221 -0.530265 317.481262 0.082050 0.107550 0.145900 0.248350 0.333800 0.284350 0.178750 0.210100 0.230400 2.845830 2.335385 5.878880 0.259980 0.495983 -0.512200 335.752502 12.261616
0.000000 0.016300 0.027800 0.019300 0.203100 0.125300 0.065300 0.046100 0.155300 0.193800 3.053615 3.234594 6.321249 0.827434 1.261119 -0.631990 315.506042 0.018700 0.027700 0.026500 0.166700 0.140500 0.087600 0.049700 0.122700 0.152000 2.715766 3.038151 5.010695 0.722997 0.949844 -0.669461 335.338440 4.750731
0.000000 0.167100 0.189650 0.199900 0.199500 0.284950 0.300600 0.220450 0.213600 0.211350 2.795172 2.403864 7.284401 -0.006705 -0.140529 -0.195575 320.728577 0.167300 0.188850 0.202900 0.206850 0.286850 0.307950 0.217200 0.211700 0.208600 2.703338 2.428212 7.581414 0.000110 -0.117606 -0.207592 351.668091 5.000000
1.000000 0.048200 0.083600 0.079900 0.289700 0.253900 0.168700 0.135600 0.245300 0.275100 2.833559 2.510828 5.264052 0.571467 1.229052 -0.506049 359.829803 0.105800 0.135700 0.180300 0.272600 0.396500 0.356100 0.210200 0.230200 0.249700 2.519969 1.997777 7.315485 0.202632 0.413534 -0.490602 381.534729 11.334558
