time,cumulative 1-week rainfall (mm)
2019-09-01,6.1035156e-05
2019-09-08,0.0
2019-09-15,0.0
2019-09-22,0.0032348633
2019-09-29,0.005493164
2019-10-06,0.0
2019-10-06,0.15631104
2019-10-13,3.5367432
2019-10-20,1.52594
2019-10-27,0.8890381
2019-11-03,1.5498657
2019-11-03,0.77612305
2019-11-10,5.125122
2019-11-17,4.1970825
2019-11-24,0.7183838
2019-12-01,5.9259644
2019-12-01,2.211792
2019-12-08,16.029236
2019-12-15,1.2470703
2019-12-22,9.5633545
2019-12-29,10.956604
2020-01-05,5.061157
2020-01-05,13.792969
2020-01-12,17.9375
2020-01-19,10.115662
2020-01-26,8.167969
2020-02-02,10.3220825
2020-02-02,5.1574707
2020-02-09,15.564819
2020-02-16,12.806885
2020-02-23,13.6866455
2020-03-01,16.045837
2020-03-01,0.059570312
2020-03-08,2.0742188
2020-03-15,8.5896
2020-03-22,14.479431
2020-03-29,17.641785
2020-04-05,2.623108
2020-04-05,7.2771606
2020-04-12,3.18396
2020-04-19,1.1784668
2020-04-26,0.02142334
2020-05-03,0.0
2020-05-03,0.00024414062
2020-05-10,0.001953125
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-05,0.0
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,0.00024414062
2020-08-30,0.30517578
2020-09-06,0.14904785
2020-09-06,0.11315918
2020-09-13,0.0
2020-09-20,0.062683105
2020-09-27,0.00061035156
2020-10-04,0.064208984
2020-10-04,0.7687378
2020-10-11,0.015808105
2020-10-18,1.531189
2020-10-25,0.054382324
2020-11-01,2.0568237
2020-11-01,0.037109375
2020-11-08,1.2960205
2020-11-15,11.237122
2020-11-22,14.591187
2020-11-29,10.601013
2020-12-06,2.1281128
2020-12-06,1.7208252
2020-12-13,1.6501465
2020-12-20,3.3214111
2020-12-27,10.842346
2021-01-03,14.521118
2021-01-03,5.6605225
2021-01-10,8.927246
2021-01-17,5.187134
2021-01-24,6.414734
2021-01-31,18.523438
2021-02-07,7.711914
2021-02-14,6.98407
2021-02-21,13.929932
2021-02-28,10.970581
2021-03-07,1.0239258
2021-03-14,2.2997437
2021-03-21,16.641907
2021-03-28,15.097168
2021-04-04,4.8148804
2021-04-04,2.6435547
2021-04-11,0.04827881
2021-04-18,0.34942627
2021-04-25,0.026245117
2021-05-02,0.8267822
2021-05-02,1.9121704
2021-05-09,1.2980957
2021-05-16,0.0
2021-05-23,0.0
2021-05-30,0.0
2021-06-06,0.0
