time,cumulative daily rainfall (mm)
2011-02-13,2.0177002
2011-02-14,0.72125244
2011-02-15,0.85028076
2011-02-16,0.9331665
2011-02-17,1.0179443
2011-02-18,0.7312622
2011-02-19,0.9602051
2011-02-20,1.4101562
2011-02-21,1.4588013
2011-02-22,1.9639893
2011-02-23,1.4719238
2011-02-24,2.2822266
2011-02-25,2.7235718
2011-02-26,3.2930908
2011-02-27,1.2771606
2011-02-28,1.6915283
2011-03-01,2.3220825
2011-03-02,4.3466187
2011-03-03,2.4534912
2011-03-04,2.86969
2011-03-05,1.5387573
2011-03-06,0.49761963
2011-03-07,0.6289673
2011-03-08,1.0430298
2011-03-09,1.6659546
2011-03-10,2.5110474
2011-03-11,1.4599609
2011-03-12,0.8187256
2011-03-13,2.0498047
2011-03-14,1.177185
2011-03-15,2.4191895
2011-03-16,1.5859375
2011-03-17,1.59198
2011-03-18,1.6561279
2011-03-19,2.189087
2011-03-20,3.161438
2011-03-21,1.8875122
2011-03-22,1.562561
2011-03-23,1.8518677
2011-03-24,1.3552246
2011-03-25,1.9416504
2011-03-26,2.9142456
2011-03-27,2.015625
2011-03-28,0.8793335
2011-03-29,1.7729492
2011-03-30,0.5942383
2011-03-31,0.1586914
2011-04-01,0.22784424
2011-04-02,0.09857178
2011-04-03,0.05706787
2011-04-04,0.014465332
2011-04-05,0.89068604
2011-04-06,1.138977
2011-04-07,1.276001
2011-04-08,1.6896362
2011-04-09,0.5218506
2011-04-10,0.7462158
2011-04-11,0.13342285
2011-04-12,0.029663086
2011-04-13,0.00024414062
2011-04-14,0.0
2011-04-15,6.1035156e-05
2011-04-16,0.0075683594
2011-04-17,0.024047852
2011-04-18,0.050048828
2011-04-19,0.6599121
2011-04-20,1.4718628
2011-04-21,0.29431152
2011-04-22,0.9355469
2011-04-23,0.74645996
2011-04-24,0.43359375
2011-04-25,0.34924316
2011-04-26,0.7446289
2011-04-27,0.5517578
2011-04-28,0.09387207
2011-04-29,0.018981934
2011-04-30,0.1743164
2011-05-01,0.10845947
2011-05-02,0.04864502
2011-05-03,0.0021972656
2011-05-04,0.0
2011-05-05,0.0
2011-05-06,6.1035156e-05
2011-05-07,6.1035156e-05
2011-05-08,0.0
2011-05-09,0.0
2011-05-10,0.0
2011-05-11,0.0
2011-05-12,0.0
2011-05-13,0.0
2011-05-14,0.0
2011-05-15,0.0
2011-05-16,6.1035156e-05
2011-05-17,0.020019531
2011-05-18,0.26324463
2011-05-19,0.058288574
2011-05-20,0.0072631836
2011-05-21,0.0014038086
2011-05-22,0.0
2011-05-23,6.1035156e-05
2011-05-24,0.0
2011-05-25,0.0
2011-05-26,0.0
2011-05-27,0.0
2011-05-28,0.0
2011-05-29,0.0
2011-05-30,0.0
2011-05-31,0.0
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-04,0.0
2011-06-05,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,0.0
2011-06-11,0.0
2011-06-12,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,0.0
2011-06-18,0.0
2011-06-19,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,0.0
2011-06-24,0.0
2011-06-25,0.0
2011-06-26,0.0
2011-06-27,0.0
2011-06-28,0.0
2011-06-29,0.0
2011-06-30,0.0
2011-07-01,0.0
