,spatial_ref,MNDWI,X,Y
89,32639,-0.36053774,355905.0,828675.0
90,32639,-0.35699025,355935.0,828675.0
91,32639,-0.36097983,355965.0,828675.0
92,32639,-0.36467052,355995.0,828675.0
93,32639,-0.35911164,356025.0,828675.0
94,32639,-0.35097325,356055.0,828675.0
95,32639,-0.33713725,356085.0,828675.0
96,32639,-0.32515156,356115.0,828675.0
97,32639,-0.32825944,356145.0,828675.0
98,32639,-0.33540267,356175.0,828675.0
99,32639,-0.3345846,356205.0,828675.0
100,32639,-0.3319358,356235.0,828675.0
101,32639,-0.32862395,356265.0,828675.0
102,32639,-0.32788083,356295.0,828675.0
103,32639,-0.33016595,356325.0,828675.0
104,32639,-0.33307585,356355.0,828675.0
105,32639,-0.3351869,356385.0,828675.0
106,32639,-0.34075183,356415.0,828675.0
107,32639,-0.33933562,356445.0,828675.0
108,32639,-0.31698248,356475.0,828675.0
109,32639,-0.2840242,356505.0,828675.0
110,32639,-0.22691612,356535.0,828675.0
111,32639,-0.060808986,356565.0,828675.0
112,32639,0.2849255,356595.0,828675.0
113,32639,0.57190144,356625.0,828675.0
114,32639,0.6044878,356655.0,828675.0
115,32639,0.6143593,356685.0,828675.0
116,32639,0.6128579,356715.0,828675.0
117,32639,0.5910267,356745.0,828675.0
118,32639,0.57283336,356775.0,828675.0
119,32639,0.5497769,356805.0,828675.0
120,32639,0.5376714,356835.0,828675.0
121,32639,0.51494753,356865.0,828675.0
122,32639,0.50146765,356895.0,828675.0
123,32639,0.48373812,356925.0,828675.0
124,32639,0.47529984,356955.0,828675.0
125,32639,0.4703422,356985.0,828675.0
126,32639,0.4654801,357015.0,828675.0
127,32639,0.45723718,357045.0,828675.0
128,32639,0.4461732,357075.0,828675.0
129,32639,0.43641165,357105.0,828675.0
130,32639,0.559085,357135.0,828675.0
131,32639,0.5235046,357165.0,828675.0
132,32639,0.50498825,357195.0,828675.0
133,32639,0.47658727,357225.0,828675.0
134,32639,0.4615028,357255.0,828675.0
135,32639,0.45223948,357285.0,828675.0
136,32639,0.45475078,357315.0,828675.0
137,32639,0.07287107,357345.0,828675.0
138,32639,0.3007848,357375.0,828675.0
139,32639,0.29116523,357405.0,828675.0
140,32639,0.15407775,357435.0,828675.0
141,32639,0.4094078,357465.0,828675.0
142,32639,0.35564214,357495.0,828675.0
143,32639,0.3252328,357525.0,828675.0
144,32639,0.26472536,357555.0,828675.0
145,32639,-1.3358508,357585.0,828675.0
146,32639,0.48086786,357615.0,828675.0
147,32639,0.40468216,357645.0,828675.0
148,32639,0.39543992,357675.0,828675.0
149,32639,-0.4094392,353235.0,828645.0
150,32639,-0.401295,353265.0,828645.0
151,32639,-0.3897927,353295.0,828645.0
152,32639,-0.3873982,353325.0,828645.0
153,32639,-0.39462963,353355.0,828645.0
154,32639,-0.4003955,353385.0,828645.0
155,32639,-0.4133201,353415.0,828645.0
156,32639,-0.43268055,353445.0,828645.0
157,32639,-0.44255897,353475.0,828645.0
158,32639,-0.4459069,353505.0,828645.0
159,32639,-0.45128554,353535.0,828645.0
160,32639,-0.4367874,353565.0,828645.0
161,32639,-0.410382,353595.0,828645.0
162,32639,-0.40490288,353625.0,828645.0
163,32639,-0.4056889,353655.0,828645.0
164,32639,-0.39327022,353685.0,828645.0
165,32639,-0.39301762,353715.0,828645.0
166,32639,-0.4048429,353745.0,828645.0
167,32639,-0.41338143,353775.0,828645.0
168,32639,-0.41406158,353805.0,828645.0
169,32639,-0.40195107,353835.0,828645.0
170,32639,-0.38798824,353865.0,828645.0
171,32639,-0.39199463,353895.0,828645.0
172,32639,-0.4041291,353925.0,828645.0
173,32639,-0.40827134,353955.0,828645.0
174,32639,-0.40661314,353985.0,828645.0
175,32639,-0.4158401,354015.0,828645.0
176,32639,-0.42169887,354045.0,828645.0
177,32639,-0.40517783,354075.0,828645.0
178,32639,-0.39750504,354105.0,828645.0
179,32639,-0.39690197,354135.0,828645.0
180,32639,-0.38763624,354165.0,828645.0
181,32639,-0.3818445,354195.0,828645.0
182,32639,-0.38957015,354225.0,828645.0
