spatial_ref,MNDWI,X,Y
32636,-0.52257484,595545.0,-2768505.0
32636,-0.53318554,595575.0,-2768505.0
32636,-0.5351369,595605.0,-2768505.0
32636,-0.5343501,595635.0,-2768505.0
32636,-0.5375895,595665.0,-2768505.0
32636,-0.53015417,595695.0,-2768505.0
32636,-0.52455366,595725.0,-2768505.0
32636,-0.53556085,595755.0,-2768505.0
32636,-0.5462896,595785.0,-2768505.0
32636,-0.5487996,595815.0,-2768505.0
32636,-0.54969335,595845.0,-2768505.0
32636,-0.55212504,595875.0,-2768505.0
32636,-0.55122733,595905.0,-2768505.0
32636,-0.53193635,595935.0,-2768505.0
32636,-0.5062676,595965.0,-2768505.0
32636,-0.4928869,595995.0,-2768505.0
32636,-0.5093949,596025.0,-2768505.0
32636,-0.52410793,596055.0,-2768505.0
32636,-0.5263523,596085.0,-2768505.0
32636,-0.5229653,596115.0,-2768505.0
32636,-0.5181307,596145.0,-2768505.0
32636,-0.5250067,596175.0,-2768505.0
32636,-0.5273984,596205.0,-2768505.0
32636,-0.5233054,596235.0,-2768505.0
32636,-0.5190984,596265.0,-2768505.0
32636,-0.51717806,596295.0,-2768505.0
32636,-0.516275,596325.0,-2768505.0
32636,-0.50934875,596355.0,-2768505.0
32636,-0.5047023,596385.0,-2768505.0
32636,-0.50229853,596415.0,-2768505.0
32636,-0.50193596,596445.0,-2768505.0
32636,-0.5095051,596475.0,-2768505.0
32636,-0.50871336,596505.0,-2768505.0
32636,-0.5453266,592455.0,-2768535.0
32636,-0.54360163,592485.0,-2768535.0
32636,-0.54765433,592515.0,-2768535.0
32636,-0.5489793,592545.0,-2768535.0
32636,-0.5430341,592575.0,-2768535.0
32636,-0.5379472,592605.0,-2768535.0
32636,-0.535817,592635.0,-2768535.0
32636,-0.5264746,592665.0,-2768535.0
32636,-0.51221436,592695.0,-2768535.0
32636,-0.49814767,592725.0,-2768535.0
32636,-0.45614174,592755.0,-2768535.0
32636,-0.41982514,592785.0,-2768535.0
32636,-0.41445932,592815.0,-2768535.0
32636,-0.40521473,592845.0,-2768535.0
32636,-0.3599494,592875.0,-2768535.0
32636,-0.3126509,592905.0,-2768535.0
32636,-0.29851246,592935.0,-2768535.0
32636,-0.3126234,592965.0,-2768535.0
32636,-0.32265922,592995.0,-2768535.0
32636,-0.35975936,593025.0,-2768535.0
32636,-0.40122995,593055.0,-2768535.0
32636,-0.44786832,593085.0,-2768535.0
32636,-0.5032343,593115.0,-2768535.0
32636,-0.5323479,593145.0,-2768535.0
32636,-0.5370408,593175.0,-2768535.0
32636,-0.5370106,593205.0,-2768535.0
32636,-0.52485865,593235.0,-2768535.0
32636,-0.52908397,593265.0,-2768535.0
32636,-0.5380478,593295.0,-2768535.0
32636,-0.54450154,593325.0,-2768535.0
32636,-0.54390115,593355.0,-2768535.0
32636,-0.53750634,593385.0,-2768535.0
32636,-0.5327431,593415.0,-2768535.0
32636,-0.5298516,593445.0,-2768535.0
32636,-0.53252906,593475.0,-2768535.0
32636,-0.53802276,593505.0,-2768535.0
32636,-0.52917194,593535.0,-2768535.0
32636,-0.51388955,593565.0,-2768535.0
32636,-0.513972,593595.0,-2768535.0
32636,-0.5168263,593625.0,-2768535.0
32636,-0.52918935,593655.0,-2768535.0
32636,-0.53742087,593685.0,-2768535.0
32636,-0.5413439,593715.0,-2768535.0
32636,-0.54033494,593745.0,-2768535.0
32636,-0.5360614,593775.0,-2768535.0
32636,-0.5403912,593805.0,-2768535.0
32636,-0.54085803,593835.0,-2768535.0
32636,-0.5378147,593865.0,-2768535.0
32636,-0.5384945,593895.0,-2768535.0
32636,-0.53925955,593925.0,-2768535.0
32636,-0.5406469,593955.0,-2768535.0
32636,-0.54249287,593985.0,-2768535.0
32636,-0.54086393,594015.0,-2768535.0
32636,-0.5410846,594045.0,-2768535.0
